Feature Model Name,Number of features (NF),Number of Mandatory Features (NM),Number of Top Features (NTop),Number of Leaf Features (NLeaf),Depth of Tree Max (DT Max),Cognitive Complexity of a Feature Model (CogC),Feature EXtendibility (FEX),Flexibility of Configuration (FoC),Single Cyclic Dependent Features (SCDF),Multiple Cyclic Dependent Features (MCDF),Number of Features Referenced in Constraints Mean (Rden),Ratio of Variability (RoV),Number of Valid Configurations (NVC),Number Groups Or (NGOr),Number Groups XOR (NGXOr)
eshop,low,moderate,moderate,veryLow,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,low,moderate,moderate
e-commerce,high,moderate,veryHigh,high,moderate,veryHigh,veryHigh,moderate,moderate,high,moderate,moderate,high,veryHigh,moderate
Livraria Online,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,high,veryHigh,moderate,moderate,moderate,moderate
GreenHouse_Control_and_Monitoring,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
Match engine,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Match de foot,low,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate
Mobile media v4,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate
CFDP Library,moderate,veryLow,veryLow,moderate,moderate,moderate,moderate,high,moderate,high,veryHigh,moderate,moderate,moderate,moderate
Homepage based on wiki,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Cars xpto,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
e-foramation,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,high
Video Player,veryHigh,high,moderate,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,veryHigh,high,moderate
NovoSiga,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
Movie System,moderate,moderate,moderate,low,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
WebCollaboration,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Multiplicador de n matrices,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Digital_Video_System,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
Telefonia Celular,low,low,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
agis,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate
Assess4me,moderate,high,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Mobile Media v3,low,moderate,moderate,low,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate
Mobile Media v7,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
VODPlayer,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Mobile Media v8,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Electronic Drum,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh
CCCMS,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Heroku,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high
Software-Product,moderate,moderate,moderate,moderate,low,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Voice Recording System,moderate,moderate,veryLow,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
VMTools-RA,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
UPT TAM,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Mobile media v5,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate
Jogo,moderate,moderate,veryLow,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,low,moderate,moderate
Text To Speech App,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,veryHigh,moderate,moderate,moderate,high
Web Game,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Toko,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
Mobile Media 2,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Visual Data Graph,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
SIGA-lctf-fta,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
deepak_fm,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate
Mobile Tourist Planner,low,moderate,moderate,low,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
social network applications,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,veryHigh,moderate,moderate,moderate,moderate
Reservation,moderate,veryLow,veryLow,moderate,high,moderate,moderate,low,moderate,moderate,moderate,moderate,low,moderate,moderate
Toko,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Monitor Engine,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,high
StoreFrontSystem,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Smartwatch,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
B2B Website,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate
MiniTV,moderate,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,moderate,moderate
Sisgeo,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
Editor de imagem,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
Modelo de Característica para Entidades Urbanas,low,low,veryHigh,moderate,veryLow,moderate,moderate,veryHigh,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate
bCMS system,veryHigh,veryHigh,moderate,high,high,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high
Thread,moderate,moderate,veryLow,moderate,veryHigh,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh
Webshop_SPLE2014_Chalmers,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,low,moderate,moderate
Bike Shop,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,high,moderate,moderate,moderate,moderate,moderate
Gsist,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
iNavBasic,moderate,moderate,moderate,low,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate
AmazonEC2,moderate,low,moderate,moderate,high,high,moderate,moderate,veryHigh,moderate,veryHigh,moderate,moderate,moderate,veryHigh
Simaldores de Engenharia de Software,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Reference Management Softwares Feature Model,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
Siga,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,high,moderate,veryHigh,moderate,moderate,moderate,moderate
MobileMedia_MarinaMB,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate,moderate
Maquina de Cafe,low,low,moderate,low,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
Inventory,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,veryHigh,moderate,moderate,moderate,moderate
Dummy Car,moderate,moderate,moderate,moderate,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,low,moderate,moderate
GymManager,moderate,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
AGORA,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
IDE4OCL,moderate,moderate,moderate,moderate,low,moderate,moderate,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate
OPEN ERP,moderate,veryHigh,moderate,veryHigh,low,moderate,high,moderate,moderate,moderate,moderate,veryHigh,moderate,moderate,moderate
Emergency Response Application,moderate,high,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate,moderate
